n,seccion,comentario_limpio
15647,4,Aumentaron mucho los precios. No me gustó que dejaran de vender cerveza Grupo Modelo.
15648,4,"Excelente servicio, buenos trabajadores, súper atentos."
15649,5,Deberían tener una sucursal en el aeropuerto y en GDL.
15650,4,Excelente atención. Y comida 10/10.
15651,2,"Alan nos atendió increíble, siempre atento y muy amable."
15652,1,Preguntar si el panqué de elote puede ser caliente.
15653,2,"El café es muy malo; era mucho mejor el de la máquina de Nestlé. Las bebidas, muy caras."
15654,4,"Todo es muy rico y muy buena atención y calidad, excepto el café; antes era bueno, ahora es un desastre."
15655,5,"Los felicito, sigan mejorando en todos los aspectos. Gracias por todo. Saludos."
15656,2,Gracias por meter cerveza Grupo Cuauhtémoc.
15657,1,Sigan así con sus excelentes precios y servicios.
15658,1,Un poco saladas las salsas para enchiladas y flautas ahogadas.
15659,5,Excelente servicio.
15660,2,Todo fue excelente.
15661,4,"La atención es muy buena con los meseros, pero es muy excesiva."
15662,5,Gracias por su buen servicio y buen sazón.
15663,5,Solo que corren mucho.
15664,4,"Todo bien, gracias."
15665,5,Muy buena comida.
15666,5,5 estrellas ⭐️⭐️⭐️⭐️⭐️
15667,2,"Muchas felicidades, gran atención de todo el personal, muy amables y serviciales. Muchas gracias."
15668,2,"Excelente servicio, muy amables, no cambien nunca."
15669,4,"Ojalá hubiera medias porciones para los complementos, como el guacamole. También ojalá consiguieran tortillas de verdad para las tostadas. El sabor en contraste es completamente otra cosa con esas tostadas y tacos de masa rara."
15670,1,"Preparar pancita, enchiladas de mole. ¡Gracias!"
15671,5,Excelentes
15672,5,Muy bueno
15673,5,No corran tanto los meseros.
15674,5,"El servicio y el chico Ismael, muy gentil, fue un excelente chico."
15675,5,"Muy buen servicio, comida buena."
15676,4,Todo es excelente.
15677,1,Muy buen servicio. Sigan con el excelente trabajo.
15678,5,Que corran menos.
15679,5,El servicio y la calidad son excelentes. Solo creo que los sanitarios deberían estar un poco más limpios.
15680,2,"Son excelentes, sigan así."
15681,4,Todo muy bien.
15682,2,"Todo en general estuvo excelente, el trato, de maravilla."
15683,5,La quesadilla es empanada.
15684,5,"Todo va muy bien, sigan así."
15685,5,Felicidades.
15686,1,"Excelente atención, muchas gracias."
15687,4,Que no presionen tanto para que uno se retire.
15688,1,Súper buen servicio
15689,4,Todo muy bien.
15690,4,"Muy buena la actitud de los meseros, la calidad y el sabor excelentes como siempre."
15691,1,Muy buen trato por parte del mesero Alejandro.
15692,5,Gracias. Siempre que venimos desde Costa Rica nos atienden súper bien.
15693,2,"Muy buen servicio, precios accesibles y muy lindas las meseras."
15694,1,"El día 15 de marzo de 2025, al momento de traer mi café, la taza traía unas marcas de labial de otro cliente. Desconozco si me cambiaron la taza o solo limpiaron el labial."
15695,4,Siempre muy amables.
15696,2,Gracias por su buena actitud y sonrisa.
15697,1,"Gracias, excelente atención Srita. Paola Álvarez."
15698,4,"Todo excelente, muchas gracias."
15699,1,Sería más agradable que volvieran las bebidas en vaso bola en vez de los jarroncitos.
15700,2,"Las verduras, cuando sirven el pozole, deberían venir en porciones más grandes si piden más de 1. :)"
15701,5,Muchas gracias.
15702,5,Todo bien
15703,2,"Excelente servicio, muy rápido, y los alimentos son de calidad y muy ricos. ¡Felicidades!"
15704,5,"Felicitarlos, todo estuvo muy rico y el servicio muy agradable. 😋"
15705,2,Los cubiertos estaban sucios.
15706,5,Sangría señorial es mejor.
15707,5,"Sigan así, excelente comida, excelente servicio."
15708,4,"Sí, que vendan pambazos y nopales guisados para los tacos de buste."
15709,1,"Todo bien, muchas gracias."
15710,2,"Excelente restaurante, lo amamos. :)"
15711,2,Todo excelente
15712,5,"El servicio de comida fue bueno, pero tuvimos que pedir la cuenta en varias ocasiones para que la llevaran."
15713,4,"EN muchas de las veces les he comentado a los jefes de meseros de que por qué no ablandan los limones antes de partirlos, pero nunca me han hecho caso y siguen dándome los limones bien duros para exprimir, pensando que con esta maniobra de ablandar los limones antes de partirlos, al negocio le ahorraría muchos limones y a los clientes nos resultará más fácil el exprimirlos, esperando no sea en vano mi comentario!!!!"
15714,5,Me encanta Casa Toño.
15715,4,"Buen servicio, buena comida y atención."
15716,4,"Todo muy bien, gracias."
15717,2,"Luego, por las prisas, cambian los platillos o se confunden; un poco más de calma sería bueno."
15718,5,Deberían vender helado.
15719,2,Pambazos por favor
15720,1,Que abran una sucursal en Toluca.
15721,2,Excelente servicio
15722,2,Muy bueno
15723,5,"Está muy rica la comida y nos atendieron muy bien, sigan así."
15724,5,Excelente servicio.
15725,1,"Cuando sirven los platos, ponerle más maíz y también ser más bastos en los limones, rábanos, incluso cuando sea para llevar."
15726,4,Que el pollo de las flautas no esté viejo.
15727,2,Todo bien.
15728,5,Excelente servicio
15729,5,Todo excelente.
15730,5,Sin comentarios
15731,5,Que pongan un segundo piso para que el tiempo de espera no sea tan largo.
15732,5,Los tiempos de espera para entrar.
15733,2,Todo muy bueno.
15734,4,10-oct
15735,5,Todo es excelente.
15736,4,Que le pongan un poco más de lechuga a las tostadas.
15737,1,"Muy rico el alimento, en especial el pozole. Quedé muy satisfecha."
15738,5,"Todo muy rico, gracias."
15739,2,"Hoy estaba sobrecocida la carne de res, no tenía mucho sabor :( Pero en general, todo cool."
15740,5,"El mesero Daniel Quirino es muy amable, está atento a lo que necesitamos y es muy respetuoso y amigable. Excelente su servicio."
15741,4,Excelente
15742,5,"Todo excelente, gracias."
15743,5,"Todo muy bien, ¡gracias!"
15744,5,"Excelente servicio, atención y comida."
15745,2,Todo muy bien. ¡Gracias!
15746,5,Super cool
15747,1,"Excelente servicio, gracias."
15748,1,Todo bien.
15749,1,.
15750,5,"Me encantó el servicio, la rapidez y los precios. Todo en general está excelente."
15751,5,Muy buena experiencia.
15752,1,"La verdad a mí me encantaba venir a casa de Toño, pero hoy día es súper tardado. En las enfrijoladas, por lo menos una de ellas no trae pollo, se tardan en el servicio y cada vez la calidad es más baja."
15753,5,El servicio de los camareros es excelente y quiero felicitarlos por su buen servicio y actitud para con el cliente.
15754,4,Sigan igual y contraten personal adulto mayor.
15755,2,Que no corran.
15756,2,"Que son muy amables, pero se acercan demasiadas veces a la mesa."
15757,2,La atención del mesero Luis Mora fue excelente 👌
15758,1,"POR FAVOR PONGAN UNA SUCURSAL EN PACHUCA, HIDALGO. GRACIAS."
15759,1,"Si, por favor, ya ponga una sucursal en Pachuca."
15760,4,Todo estuvo excelente.
15761,4,El servicio fue excelente.
15762,5,No
15763,5,"Es eterna la espera para pasar y el servicio deja mucho que desear, así como la comida."
15764,1,"Deberían poner una sucursal en Pachuca, Hidalgo."
15765,5,Gracias
15766,1,"Que no corran los meseros, eso se ve mal."
15767,5,Un empleado de la cocina metió pozole (consumido por los clientes) a la cazuela que contenía todo el pozole para ser servido.
15768,5,No nos quiten el plato tan rápido. u.u Se siente feo.
15769,2,"Que los meseros no corran, se pueden lastimar. Todo lo demás, muy bien ❤️ y muy rico. Gracias."
15770,2,Todo bien.
15771,1,"Excelente servicio y calidad de los alimentos, en especial de la Sra. Jessica Mateos."
15772,2,Todo muy rico y el servicio es bueno.
15773,4,"Al final, el servicio fue lento; el capitán no nos dio el mejor servicio."
15774,5,Todo excelente 👌
15775,4,Felicidades
15776,4,Nop
15777,5,"Agradecer que ya cambiaron las tostadas, porque estaban muy duras."
15778,1,Excelente servicio como siempre.
15779,2,Excelente
15780,4,"Que le bajen los precios, están muy caros."
15781,4,WIFI
15782,4,"Nada adicional, muchas gracias."
15783,1,"La carne de los tacos de bistec estaba muy entera y no se antojaba comerlos, y quemada."
15784,5,Los precios en el menú y en la cuenta de las flautas fueron diferentes.
15785,1,Que tengan precios más accesibles para la economía del país.
15786,2,Excelente servicio
15787,2,Mejorar precios
15788,5,No confiarse.
15789,5,Nos atendieron bien y súper rápido a pesar de que había mucha gente.
15790,5,La carne de las quesadillas con cochinita se aguada muy rápido y no sabe a casi nada.
15791,1,TIREN PARO 🗣️‼️🔥
15792,1,"Yo creo que no es muy agradable que los chicos del servicio estén constantemente corriendo, como que se provoca cierta ansiedad en los clientes."
15793,2,"El tiempo de atención, servicio y sazón de los platillos es excelente al paladar. Deberían hacer un análisis de tiempos y movimientos de su personal o el número de su plantilla, ya que en todas las sucursales siempre están corriendo. Por lo menos, yo como comensal me siento apresurada al comer."
15794,1,"Mariana, muy atenta."
15795,1,Excelente atención de Mariana.
15796,1,Muy buena la comida y el servicio.
15797,4,Más sabor casero al flan.
15798,1,Si la calidad de la loza es mala.
15799,4,Excelente servicio y excelente atención.
15800,4,El mesero buena onda.
15801,5,"La comida fue muy rica y la cerveza con salsa estuvo deliciosa, el servicio fue muy rápido y muy atento. ¡Felicidades!"
15802,2,El plato estaba sucio de abajo.
15803,1,No
15804,2,"Las quesadillas deberían traer lechuga, queso y crema como un sope; siempre les hace falta algo. Ojalá lo tomen en cuenta."
15805,5,Que el tiempo de espera sea menor.
15806,5,Lo único malo de la casa de Toño es que no tienen cerveza Modelo ni Corona.
15807,5,Falta cerveza Corona.
15808,5,Todo excelente. 10/10
15809,5,Todo ok
15810,4,Muy bien el servicio.
15811,5,El chico que atendió a Uriel Lozada fue muy amable y muy eficiente; siempre estuvo atento a nuestras peticiones.
15812,2,"Pónganle más maíz al pozole, por favor 😊"
15813,4,No suban sus precios.
15814,5,Excelente servicio.
15815,1,"Todo esto excelente, incluyendo el tiempo de espera para ingresar, que fue breve, alrededor de 5 minutos. ¡Gracias!"
15816,2,Que le pongan más carne al pozole y más sabor en la horchata.
15817,4,Las tortillas estaban duras.
15818,5,Pito
15819,5,Excelente
15820,5,Excelente servicio
15821,1,Es muy buena la atención y rica la comida.
15822,4,Falta suficiente carne en las flautas.
15823,5,Tener en el menú. Sope con guisado de sesos. 🔥
15824,4,Aire muy frío
15825,5,Uriel Lozada nos atendió muy bien.
15826,5,"Uriel Lozada nos atendió muy bien, fue amable y estuvo atento en todo momento de que no nos faltara nada."
15827,2,"El servicio es bueno, así como la atención de los empleados. Nuestro pozole siempre le falta estar más caliente, solo eso."
15828,5,Uriel fue grandioso y atento.
15829,5,Estar en la CDMX y no venir a comer a la Casa de Toño es como si no hubieras venido a la CDMX.
15830,4,Que la comida estuvo excelente y riquísima. 😋
15831,5,No me gusta que anden corriendo los meseros.
15832,2,Buen día
15833,2,"Todos los platillos en general son ricos; sin embargo, les hace falta para tener más opciones platillos caldosos, por ejemplo: caldo tlalpeño, sopa azteca, caldo de camarón, consomé de pollo, etc. Para mi gusto, sería lo que complementaría los sabrosos platillos de ""La Casa de Toño""."
15834,1,Excelente atención de José Benites
15835,1,Servicio ágil y calidad en alimentos.
15836,1,Atención más que excelente por el joven José Benites.
15837,5,"Que no estén corriendo, que sepan controlar sus tiempos."
15838,1,"Muy lindo y rico todo. Pasó a nuestra mesa José, el señor de rojo, muy pendiente."
15839,2,"Pablo, el capitán en turno, nos ha dado un excelente servicio. Siempre muy atento."
15840,2,"Solo como observación, las flautas deberían ponerles un poco más de crema."
15841,1,Excelente Señor José Benítez
15842,4,Felicitaciones por mejorar la hospitalidad y el trato de su personal. La experiencia es mucho más agradable y ya no siento que me presionen para comer rápidamente. Felicidades por la mejoría.
15843,4,Mejoraron mucho su servicio al cliente y la experiencia de convivencia. Pequeños cambios que sí hacen la diferencia.
15844,2,Chido
15845,5,Excelente servicio y atención.
15846,5,Excelente atención al cliente.
15847,2,El platillo de esta sucursal se me hizo con menos alimento que en otras sucursales que he visitado y menos carne.
15848,2,Ninguno
15849,5,Espero que le pagues bien a tus empleados porque trabajando muy duro espero que seas muy buena empresa :)
15850,2,El capitán Iván fue el mejor del QM desde Mty 🔥
15851,1,Alimentos más calientes
15852,5,"Ya subieron los precios, joven. En mis tiempos, el pozole era a peso. ¡Uuuchale!"
15853,2,"El servicio es excelente, sin embargo el pollo agradaría más en los platillos si tuviera algún condimento, ya que es muy simple y con respecto al pozole bajó un poco de calidad y las quesadillas tienen poco queso a mi gusto. Solo es cuestión de mejorar en ese aspecto. ¡Gracias!"
15854,2,"Que no obliguen a los meseros a correr, se pueden lastimar y me parece denigrante."
15855,5,"Excelente servicio, Uriel Lozada."
15856,5,"Todo maravilloso, nos encantó, muy rico, servicio excelente. 👌🏻"
15857,5,Rico y rápido. Excelente atención. Riquísimo.
15858,4,Skibidi sigma Pomni Fortnite digital chamba XXX Tentation
15859,1,"Tardaron en traerme salsa y se remojaron mis flautas, y no me gusta responder encuestas cada que vengo 🤷🏽‍♂️"
15860,5,"Ninguna, todo bien."
15861,4,"La comida estaba muy pipirisnais y llegó así bien bomba de que pedí y pakata que ya estaba aquí y yo dije ¡QUEEEE! y el cocinero así de traca, las naranjas dicen que muy buenas."
